name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
binh duong,2023-01-01,87.8,73.4,79.7,91.8,73.4,81.4,67.5,67.3,0.008,100,4.17,rain,0,0,17.2,9.2,14.1,1012.8,58.3,5.9,175.1,15.1,7,10,2023-01-01T06:11:58,2023-01-01T17:41:32,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS"
binh duong,2023-01-02,89.6,73.4,80.1,98.2,73.4,83.6,72.8,79.6,0.036,100,8.33,rain,0,0,18.3,6.2,325,1013.2,71.3,6.3,185.6,16,7,10,2023-01-02T06:12:22,2023-01-02T17:42:04,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
binh duong,2023-01-03,91.4,75.2,82.5,97,75.2,85.6,72.1,73.4,0,0,0,rain,0,0,19.9,9.7,43.6,1012.4,65.3,6,192,16.8,7,10,2023-01-03T06:12:45,2023-01-03T17:42:37,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
binh duong,2023-01-04,90.9,75.1,81.7,95.1,75.1,83.4,67.9,64.2,0.028,100,16.67,rain,0,0,22.6,13.9,30.1,1011.7,61.4,6.4,131.3,11.3,6,10,2023-01-04T06:13:07,2023-01-04T17:43:10,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
binh duong,2023-01-05,82.4,75.2,78.5,86.2,75.2,79.5,68.8,72.4,0.147,100,50,rain,0,0,31.1,15,23.4,1011.3,72.6,6.4,72.5,6.1,3,10,2023-01-05T06:13:29,2023-01-05T17:43:43,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48894099999,48900099999,VVTS"
binh duong,2023-01-06,86,71.6,78.3,88.4,71.6,79.3,67.3,70.4,0.024,100,4.17,rain,0,0,26.4,15,18.4,1010.9,79.7,6.3,64.9,5.6,4,10,2023-01-06T06:13:49,2023-01-06T17:44:16,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48894099999,48900099999,VVTS"
binh duong,2023-01-07,84.2,75.2,78.6,86.5,75.2,79.4,66.2,66.1,0.416,100,66.67,rain,0,0,24.2,11.4,10.1,1010.3,89.2,6.4,82.9,7.1,4,10,2023-01-07T06:14:09,2023-01-07T17:44:49,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48894099999,48900099999,VVTS"
binh duong,2023-01-08,84.2,73.4,78.6,88.5,73.4,80.7,69.2,73.3,0.551,100,66.67,rain,0,0,19.7,6.9,323.2,1010.7,71.7,6.4,77.4,6.8,3,10,2023-01-08T06:14:28,2023-01-08T17:45:21,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48894099999,48900099999,VVTS"
binh duong,2023-01-09,87.8,76.8,80.1,97.8,76.8,82.7,75.2,85.7,0.416,100,66.67,rain,0,0,19.9,11.4,88.8,1011.6,65.5,5.6,82.2,7.1,4,30,2023-01-09T06:14:47,2023-01-09T17:45:54,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48894099999,48900099999,VVTS"
binh duong,2023-01-10,84.2,75.1,79.3,94.2,75.1,82.1,75.1,87.6,0.827,100,4.17,rain,0,0,27.7,13.9,112.5,1011.2,80,6,114.6,10,4,10,2023-01-10T06:15:04,2023-01-10T17:46:26,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48894099999,48900099999,VVTS"
binh duong,2023-01-11,86,76.9,80.9,93.5,76.9,84.3,73.7,79.4,0.008,100,8.33,rain,0,0,21,11.4,128.7,1010.7,86.1,6.1,176.8,15.3,7,10,2023-01-11T06:15:20,2023-01-11T17:46:59,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS"
binh duong,2023-01-12,87.8,76.9,81.5,95.9,76.9,85.6,74.2,79.1,0.012,100,12.5,rain,0,0,15.2,10.3,148,1010.7,54.2,6.4,177.2,15.3,7,10,2023-01-12T06:15:36,2023-01-12T17:47:31,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS"
binh duong,2023-01-13,89.6,75.2,81.9,98.2,75.2,86.9,75.3,81.9,0.016,100,16.67,rain,0,0,12.3,8.1,185.5,1010.8,54.7,6.4,201.7,17.4,7,30,2023-01-13T06:15:50,2023-01-13T17:48:02,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
binh duong,2023-01-14,91.4,76.9,83.5,102.6,76.9,89.3,75.7,79.1,0.016,100,12.5,rain,0,0,12.3,8.1,266.5,1009,46,6.2,192.8,16.6,7,30,2023-01-14T06:16:04,2023-01-14T17:48:34,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48894099999,48900099999,VVTS"
binh duong,2023-01-15,91.4,76.8,83.5,95.6,76.8,86.8,72.4,73.2,0,0,0,rain,0,0,18.3,9.2,285.1,1008.3,44,6,238.1,20.4,9,10,2023-01-15T06:16:16,2023-01-15T17:49:05,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
binh duong,2023-01-16,93.2,77,83.3,97,77,87.3,73.6,75.4,0.004,100,4.17,rain,0,0,15.9,9.7,139.1,1010.3,48.1,6.1,215.7,18.6,8,10,2023-01-16T06:16:28,2023-01-16T17:49:36,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48894099999,48900099999,VVTS"
binh duong,2023-01-17,89.6,73.4,81.3,93.5,73.4,84.3,72.3,76,0,0,0,,0,0,13.4,11.4,281.2,1011.5,37.5,5.8,240.6,20.8,9,10,2023-01-17T06:16:38,2023-01-17T17:50:06,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
binh duong,2023-01-18,89.6,73.3,80.7,92.5,73.3,82.5,68.6,67.9,0,0,0,,0,0,17.2,11.4,4.2,1012.3,49.7,6.2,232,19.9,9,10,2023-01-18T06:16:48,2023-01-18T17:50:37,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
binh duong,2023-01-19,91.4,75,81.7,94.3,75,84.3,68.1,64.8,0,0,0,,0,0,13.2,8.3,45.6,1011.8,35.8,6.4,208.5,18.2,8,10,2023-01-19T06:16:56,2023-01-19T17:51:06,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
binh duong,2023-01-20,91.4,73.4,81.9,97,73.4,86.1,71.9,73,0,0,0,,0,0,14.8,8.1,348,1011,43.3,6.3,228.4,19.8,8,10,2023-01-20T06:17:04,2023-01-20T17:51:36,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
binh duong,2023-01-21,93.2,75.1,83.9,97.7,75.1,88.3,71.3,67.8,0.032,100,16.67,rain,0,0,12.3,8.1,27.2,1010,40.9,6.4,229.4,19.8,8,10,2023-01-21T06:17:10,2023-01-21T17:52:05,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
binh duong,2023-01-22,91.4,76.9,83.8,100.5,76.9,89.8,74.2,74,0.004,100,4.17,rain,0,0,10.7,12.8,104.2,1009.2,57.1,6.2,216.1,18.7,8,10,2023-01-22T06:17:15,2023-01-22T17:52:33,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48894099999,48900099999,VVTS"
binh duong,2023-01-23,93.2,77,84.5,100,77,89.9,73.6,71.7,0.008,100,8.33,rain,0,0,16.3,11.4,140.2,1008.6,54.3,6.3,226.5,19.4,8,10,2023-01-23T06:17:20,2023-01-23T17:53:01,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48894099999,48900099999,VVTS"
