name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
binh duong,2024-01-01,89.6,76.9,82.6,98.2,76.9,87.8,75.7,81.4,0,0,0,,0,0,14.8,10.3,241.4,1011.4,45.7,5.6,228.6,19.7,8,10,2024-01-01T06:11:53,2024-01-01T17:41:24,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
binh duong,2024-01-02,93.2,77,83.4,100.9,77,90.3,76.5,81.5,0,0,0,,0,0,18.1,9.2,260.9,1010.9,44.7,5.9,224.8,19.3,8,10,2024-01-02T06:12:17,2024-01-02T17:41:57,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
binh duong,2024-01-03,91.4,78.6,83.5,102.4,78.6,89.6,76.1,80,0,0,0,,0,0,16.1,11.4,186.9,1010.9,46.1,5.5,235.1,20.3,9,10,2024-01-03T06:12:40,2024-01-03T17:42:30,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
binh duong,2024-01-04,89.6,77,82.6,97.9,77,87.1,73.6,75.4,0,0,0,,0,0,15.9,9.2,207.2,1011.4,38.4,5.7,245.4,21.2,9,10,2024-01-04T06:13:02,2024-01-04T17:43:03,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
binh duong,2024-01-05,87.8,75.2,81.8,95.9,75.2,86.8,74.8,80.5,0,0,0,,0,0,8.9,5.8,326.6,1012.3,63.4,4.2,231.8,20.1,8,10,2024-01-05T06:13:24,2024-01-05T17:43:36,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
binh duong,2024-01-06,91.4,76.9,83.5,99.9,76.9,88.9,74.4,75.8,0.012,100,12.5,rain,0,0,16.3,9.2,277.8,1011.7,47,4.7,219.2,18.9,9,10,2024-01-06T06:13:45,2024-01-06T17:44:08,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
binh duong,2024-01-07,93.2,77,83.8,102.8,77,90.2,75.6,78.1,0,0,0,,0,0,17.4,10.3,174,1012.2,34.8,5.2,211.4,18.1,8,10,2024-01-07T06:14:05,2024-01-07T17:44:41,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
binh duong,2024-01-08,89.6,78.6,83.4,98.2,78.6,88.9,74.4,75.4,0,0,0,,0,0,15.9,9.9,163.1,1012.1,57,5.6,235.8,20.3,9,10,2024-01-08T06:14:24,2024-01-08T17:45:14,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
binh duong,2024-01-09,93.2,78.6,83.8,102.6,78.6,89.5,75,76.6,0,0,0,,0,0,17,10.3,127.4,1011.2,47.9,5.3,240.5,20.8,9,10,2024-01-09T06:14:43,2024-01-09T17:45:47,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
binh duong,2024-01-10,93.2,78.5,84.6,100.9,78.5,89.3,72.2,67.8,0,0,0,,0,0,19.9,9.2,135.4,1010.6,44.3,6.3,237.6,20.5,9,10,2024-01-10T06:15:00,2024-01-10T17:46:19,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
