datetime,conditions
01-01-2025,Partially cloudy
02-01-2025,"Rain, Partially cloudy"
03-01-2025,"Rain, Partially cloudy"
04-01-2025,"Rain, Partially cloudy"
05-01-2025,Partially cloudy
06-01-2025,Partially cloudy
07-01-2025,Partially cloudy
08-01-2025,Partially cloudy
09-01-2025,Partially cloudy
10-01-2025,Partially cloudy
11-01-2025,Partially cloudy
12-01-2025,Overcast
13-01-2025,Partially cloudy
14-01-2025,Overcast
15-01-2025,Overcast
16-01-2025,Partially cloudy
17-01-2025,Partially cloudy
18-01-2025,Partially cloudy
19-01-2025,Partially cloudy
20-01-2025,Overcast
21-01-2025,Overcast
22-01-2025,Overcast
23-01-2025,Overcast
24-01-2025,Partially cloudy
25-01-2025,Partially cloudy
26-01-2025,Partially cloudy
27-01-2025,Partially cloudy
28-01-2025,Partially cloudy
29-01-2025,Partially cloudy
30-01-2025,Partially cloudy
31-01-2025,Partially cloudy
01-02-2025,Partially cloudy
02-02-2025,Partially cloudy
03-02-2025,Partially cloudy
04-02-2025,Partially cloudy
05-02-2025,Partially cloudy
06-02-2025,Partially cloudy
07-02-2025,Partially cloudy
08-02-2025,Partially cloudy
09-02-2025,Partially cloudy
10-02-2025,Partially cloudy
11-02-2025,Partially cloudy
12-02-2025,Partially cloudy
13-02-2025,Partially cloudy
14-02-2025,Partially cloudy
15-02-2025,Partially cloudy
16-02-2025,Partially cloudy
17-02-2025,Partially cloudy
18-02-2025,Partially cloudy
19-02-2025,Partially cloudy
20-02-2025,Partially cloudy
21-02-2025,Partially cloudy
22-02-2025,Partially cloudy
23-02-2025,Partially cloudy
24-02-2025,Partially cloudy
25-02-2025,Partially cloudy
26-02-2025,Partially cloudy
27-02-2025,Partially cloudy
28-02-2025,Partially cloudy
